,pref,pref_id,loss_from_2019,final_date_month,state_of_emergency,second,cases_per_population,deaths_per_population,average_temperature,unemployment_rate_percent,over_age65_population,population_2019,area_ha,population_per_density_per_ha,cases_lag,deaths_lag
177,徳島県,36,0.3348,2020/5/31,1,0,0,0,20.4,2.2,245000,728000,414675,2,0.274725274725275,0.137362637362637
178,香川県,37,0.4,2020/5/31,1,0,0,0,8,2.4,305000,956000,187679,5,2.71966527196653,0
179,愛媛県,38,0.295,2020/5/31,1,0,2.61389096340553,0.0746825989544436,20.6,1.9,442000,1339000,567616,2,2.83793876026886,0.224047796863331
180,高知県,39,0.4434,2020/5/31,1,0,0,0,20.5,2.7,246000,698000,710364,1,8.16618911174785,0.429799426934097
181,福岡県,40,0.3072,2020/5/31,1,1,2.2923197492163,0.156739811912226,20.4,3,1425000,5104000,498651,10,11.6575235109718,0.391849529780564
182,佐賀県,41,0.4323,2020/5/31,1,0,0.736196319018405,0,21,1.8,246000,815000,244070,3,4.78527607361963,0
183,長崎県,42,0.4882,2020/5/31,1,0,0,0,20.2,2.6,433000,1327000,413100,3,1.13036925395629,0.0753579502637528
184,熊本県,43,0.3536,2020/5/31,1,0,0.05720823798627,0.11441647597254,21.3,3.3,543000,1748000,740945,2,1.88787185354691,0.05720823798627
185,大分県,44,0.4315,2020/5/31,1,0,0,0,20.2,2.3,373000,1135000,634076,2,2.73127753303965,0.0881057268722467
186,宮崎県,45,0.5536,2020/5/31,1,0,0,0,20.8,2.1,346000,1073000,773533,1,1.30475302889096,0
187,鹿児島県,46,0.4482,2020/5/31,1,0,0,0,21.7,2.9,512000,1602000,918708,2,0.561797752808989,0
188,沖縄県,47,0.3662,2020/5/31,1,0,0,0.0688231245698555,24.8,3.5,322000,1453000,228100,6,9.15347556779078,0.344115622849277
189,北海道,1,0.7362,2020/6/30,0,0,3.27619047619048,0.247619047619048,18.3,3.3,1673000,5250000,7842133,1,6.17142857142857,1.08571428571429
190,青森県,2,0.6659,2020/6/30,0,0,0,0,19.3,2.8,415000,1246000,964564,1,0.0802568218298555,0.0802568218298555
191,岩手県,3,0.6793,2020/6/30,0,0,0,0,20.4,2.6,406000,1227000,1527501,1,0,0
192,宮城県,4,0.4998,2020/6/30,0,0,0.2601908065915,0,21.2,2.6,652000,2306000,728229,3,0,0.0433651344319167
