,country_name,year,v2x_polyarchy,v2mecenefm,v2exl_legitideol,v2cvgovres_0,v2cvgovres_1,v2cvgovres_2,v2cvgovres_3,v2cvgovres_4,v2cvgovres_5,v2cvgovres_6,v2cvgovres_nr
138,Bosnia and Herzegovina,2019,0.527,0.678,2.017,NA,NA,NA,NA,NA,NA,NA,NA
139,Bulgaria,2019,0.614,0.839,-1.464,NA,NA,NA,NA,NA,NA,NA,NA
140,Comoros,2019,0.394,0.343,0.578,NA,NA,NA,NA,NA,NA,NA,NA
141,Croatia,2019,0.732,0.773,0.633,NA,NA,NA,NA,NA,NA,NA,NA
142,Cuba,2019,0.184,-1.848,3.38,NA,NA,NA,NA,NA,NA,NA,NA
143,Cyprus,2019,0.86,1.917,0.055,NA,NA,NA,NA,NA,NA,NA,NA
144,Czech Republic,2019,0.803,1.222,-2.345,NA,NA,NA,NA,NA,NA,NA,NA
145,Denmark,2019,0.91,3.306,-2.094,NA,NA,NA,NA,NA,NA,NA,NA
146,Equatorial Guinea,2019,0.182,-1.128,0.718,NA,NA,NA,NA,NA,NA,NA,NA
147,Estonia,2019,0.894,3.3,-0.953,NA,NA,NA,NA,NA,NA,NA,NA
148,Fiji,2019,0.404,-0.037,0.627,NA,NA,NA,NA,NA,NA,NA,NA
149,Finland,2019,0.876,2.877,-1.802,NA,NA,NA,NA,NA,NA,NA,NA
150,Greece,2019,0.862,1.65,-1.138,NA,NA,NA,NA,NA,NA,NA,NA
151,Guyana,2019,0.644,0.82,-1.115,NA,NA,NA,NA,NA,NA,NA,NA
152,Hong Kong,2019,0.31,0.254,1.225,NA,NA,NA,NA,NA,NA,NA,NA
153,Iceland,2019,0.856,2.897,-1.147,NA,NA,NA,NA,NA,NA,NA,NA
154,Israel,2019,0.697,0.549,0.72,NA,NA,NA,NA,NA,NA,NA,NA
155,Kuwait,2019,0.316,0.17,0.349,NA,NA,NA,NA,NA,NA,NA,NA
156,Lithuania,2019,0.827,1.668,-1.686,NA,NA,NA,NA,NA,NA,NA,NA
157,Luxembourg,2019,0.869,2.992,-2.799,NA,NA,NA,NA,NA,NA,NA,NA
158,North Macedonia,2019,0.618,1.08,-0.98,NA,NA,NA,NA,NA,NA,NA,NA
159,Malaysia,2019,0.446,1.084,1.407,NA,NA,NA,NA,NA,NA,NA,NA
160,Malta,2019,0.768,1.481,-0.291,NA,NA,NA,NA,NA,NA,NA,NA
161,Mauritius,2019,0.822,1.714,1.22,NA,NA,NA,NA,NA,NA,NA,NA
162,Montenegro,2019,0.448,0.333,2.145,NA,NA,NA,NA,NA,NA,NA,NA
163,New Zealand,2019,0.896,2.76,-0.267,NA,NA,NA,NA,NA,NA,NA,NA
164,Norway,2019,0.895,3.175,-1.193,NA,NA,NA,NA,NA,NA,NA,NA
165,Oman,2019,0.179,-0.933,0.83,NA,NA,NA,NA,NA,NA,NA,NA
166,Paraguay,2019,0.59,1.575,-1.054,NA,NA,NA,NA,NA,NA,NA,NA
167,Romania,2019,0.685,0.832,-2.554,NA,NA,NA,NA,NA,NA,NA,NA
168,Sao Tome and Principe,2019,0.702,1.375,-0.998,NA,NA,NA,NA,NA,NA,NA,NA
169,Saudi Arabia,2019,0.015,-1.606,1.295,NA,NA,NA,NA,NA,NA,NA,NA
170,Serbia,2019,0.355,-1.112,0.77,NA,NA,NA,NA,NA,NA,NA,NA
171,Seychelles,2019,0.556,0.51,-0.867,NA,NA,NA,NA,NA,NA,NA,NA
172,Singapore,2019,0.389,-0.62,0.502,NA,NA,NA,NA,NA,NA,NA,NA
173,Slovakia,2019,0.832,2.466,-1.543,NA,NA,NA,NA,NA,NA,NA,NA
174,Slovenia,2019,0.805,1.87,-1.975,NA,NA,NA,NA,NA,NA,NA,NA
175,Solomon Islands,2019,0.628,1.491,-2.009,NA,NA,NA,NA,NA,NA,NA,NA
176,Vanuatu,2019,0.756,1.633,-0.407,NA,NA,NA,NA,NA,NA,NA,NA
177,United Arab Emirates,2019,0.096,-1.506,1.537,NA,NA,NA,NA,NA,NA,NA,NA
178,Hungary,2019,0.465,0.232,1.055,NA,NA,NA,NA,NA,NA,NA,NA
179,Zanzibar,2019,0.255,-0.629,1.454,NA,NA,NA,NA,NA,NA,NA,NA
180,Mexico,2020,0.645,-0.126,-0.385,0.429,0.286,0.143,0.071,0.214,0.286,0.143,14
181,Suriname,2020,0.737,0.78,-1.01,1,1,0.25,0.5,0.5,0,0,4
182,Sweden,2020,0.905,3.383,-1.692,0.7,0.75,0,0.1,0.45,0.05,0,20
183,Switzerland,2020,0.892,3.059,-2.752,0.7,0.9,0,0,0.4,0,0,10
184,Ghana,2020,0.698,2.106,-1.017,0.875,0.75,0,0.375,0.125,0.125,0,8
185,South Africa,2020,0.701,0.927,0.026,0.875,0.875,0.125,0.5,0.375,0.125,0,8
186,Japan,2020,0.822,1.252,-0.442,0.667,0.667,0,0,0,0.333,0,6
187,Burma/Myanmar,2020,0.435,1.125,0.105,1,0.75,0.25,0.75,0.375,0.125,0,8
188,Russia,2020,0.261,-1.648,0.907,0.929,0.929,0.5,0.429,0.286,0,0,14
189,Albania,2020,0.501,-0.393,-0.492,0.778,0.889,0.333,0.333,0.444,0,0.111,9
190,Egypt,2020,0.181,-1.422,0.29,0.889,0.889,0.444,0.444,0.444,0,0.111,9
191,Yemen,2020,0.111,-2.174,1.841,0.5,0.333,0.083,0.167,0.167,0.5,0,12
192,Colombia,2020,0.609,0.969,1.411,0.895,0.789,0,0.158,0.632,0,0.053,19
193,Poland,2020,0.632,0.344,0.476,0.944,0.944,0.056,0.278,0.444,0,0,18
194,Brazil,2020,0.69,0.241,1.203,0.571,0.357,0.143,0.071,0.286,0.357,0,14
